page,page_number,region_id,region_role,reading_order_start,reading_order_end,child_box_ids,bbox,quality_score,needs_review,review_reasons,suggested_actions,merge_reasons,text_preview
page_0003,3,page_0003_region_001,body_text,1,5,page_0003_raw_0018|page_0003_raw_0008|page_0003_raw_0005|page_0003_raw_0002|page_0003_raw_0022,"(332, 277, 1297, 1631)",0.35,True,region_covers_large_page_area|very_tall_multi_box_region|multiple_low_layout_scores,review_split_region|review_boxes_or_redetect_layout,start_region|contiguous_close_boxes|body_continuation,
page_0003,3,page_0003_region_002,body_text,6,9,page_0003_raw_0021|page_0003_raw_0015|page_0003_raw_0019|page_0003_raw_0017,"(341, 572, 1235, 817)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,new_region_after_gap_or_column_change|body_continuation,
page_0003,3,page_0003_region_003,body_text,10,12,page_0003_raw_0007|page_0003_raw_0023|page_0003_raw_0004,"(335, 976, 1228, 1498)",1.0,False,,,new_region_after_gap_or_column_change|body_continuation,
page_0003,3,page_0003_region_004,document_title,13,15,page_0003_raw_0010|page_0003_raw_0006|page_0003_raw_0013,"(591, 278, 1061, 483)",0.7,True,many_boundary_boxes_in_one_region,review_split_region,new_region_at_layout_boundary|title_fragment_continuation,
page_0003,3,page_0003_region_005,body_text,16,18,page_0003_raw_0020|page_0003_raw_0011|page_0003_raw_0012,"(730, 842, 914, 1084)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,new_region_after_gap_or_column_change|body_continuation,
page_0003,3,page_0003_region_006,content_block,19,19,page_0003_raw_0009,"(759, 1248, 875, 1280)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
page_0003,3,page_0003_region_007,body_text,20,21,page_0003_raw_0003|page_0003_raw_0016,"(369, 1525, 581, 1627)",1.0,False,,,new_region_after_gap_or_column_change|body_continuation,
page_0004,4,page_0004_region_001,body_text,1,2,page_0004_raw_0032|page_0004_raw_0034,"(380, 252, 1266, 805)",1.0,False,,,start_region|contiguous_close_boxes,
page_0004,4,page_0004_region_002,content_block,3,4,page_0004_raw_0033|page_0004_raw_0024,"(353, 772, 1319, 1001)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0004,4,page_0004_region_003,content_block,5,6,page_0004_raw_0028|page_0004_raw_0027,"(355, 1039, 1315, 1263)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0004,4,page_0004_region_004,content_block,7,8,page_0004_raw_0031|page_0004_raw_0025,"(358, 1299, 1323, 1465)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0004,4,page_0004_region_005,content_block,9,10,page_0004_raw_0030|page_0004_raw_0026,"(360, 1499, 1317, 1720)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0005,5,page_0005_region_001,body_text,1,1,page_0005_raw_0040,"(507, 239, 1310, 281)",1.0,False,,,start_region,
page_0005,5,page_0005_region_002,content_block,2,3,page_0005_raw_0041|page_0005_raw_0035,"(348, 312, 1315, 539)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0005,5,page_0005_region_003,body_text,4,4,page_0005_raw_0036,"(703, 616, 957, 785)",1.0,False,,,new_region_after_gap_or_column_change,
page_0005,5,page_0005_region_004,content_block,5,10,page_0005_raw_0039|page_0005_raw_0038|page_0005_raw_0045|page_0005_raw_0042|page_0005_raw_0044|page_0005_raw_0043,"(348, 812, 1320, 1727)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
page_0006,6,page_0006_region_001,body_text,1,7,page_0006_raw_0055|page_0006_raw_0062|page_0006_raw_0060|page_0006_raw_0065|page_0006_raw_0059|page_0006_raw_0053|page_0006_raw_0054,"(344, 238, 1315, 1040)",0.67,True,large_gap_between_child_boxes|multiple_low_layout_scores,review_split_region|review_boxes_or_redetect_layout,start_region|body_continuation,
page_0006,6,page_0006_region_002,body_text,8,10,page_0006_raw_0058|page_0006_raw_0056|page_0006_raw_0061,"(347, 489, 1311, 713)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,new_region_after_gap_or_column_change|body_continuation,
page_0006,6,page_0006_region_003,body_text,11,12,page_0006_raw_0057|page_0006_raw_0063,"(346, 933, 1307, 1038)",1.0,False,,,new_region_after_gap_or_column_change|body_continuation,
page_0006,6,page_0006_region_004,content_block,13,14,page_0006_raw_0049|page_0006_raw_0048,"(343, 1069, 1309, 1233)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0006,6,page_0006_region_005,content_block,15,18,page_0006_raw_0050|page_0006_raw_0064|page_0006_raw_0052|page_0006_raw_0051,"(344, 1270, 1303, 1557)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
page_0007,7,page_0007_region_001,section_header,1,6,page_0007_raw_0071|page_0007_raw_0073|page_0007_raw_0072|page_0007_raw_0076|page_0007_raw_0074|page_0007_raw_0069,"(350, 252, 1310, 1087)",1.0,False,,,start_region|title_followed_by_body|body_continuation,
page_0007,7,page_0007_region_002,content_block,7,8,page_0007_raw_0075|page_0007_raw_0066,"(344, 1055, 1311, 1474)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0007,7,page_0007_region_003,content_block,9,10,page_0007_raw_0070|page_0007_raw_0067,"(342, 1502, 1308, 1735)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,
page_0008,8,page_0008_region_001,content_block,1,2,page_0008_raw_0084|page_0008_raw_0077,"(332, 249, 1298, 411)",1.0,False,,,start_region|title_followed_by_body,
page_0008,8,page_0008_region_002,content_block,3,7,page_0008_raw_0080|page_0008_raw_0094|page_0008_raw_0081|page_0008_raw_0079|page_0008_raw_0095,"(335, 450, 1297, 799)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
page_0008,8,page_0008_region_003,content_block,8,11,page_0008_raw_0082|page_0008_raw_0078|page_0008_raw_0092|page_0008_raw_0086,"(341, 834, 1306, 1140)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
page_0008,8,page_0008_region_004,content_block,12,12,page_0008_raw_0087,"(757, 1031, 893, 1061)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
page_0008,8,page_0008_region_005,content_block,13,18,page_0008_raw_0091|page_0008_raw_0089|page_0008_raw_0090|page_0008_raw_0088|page_0008_raw_0085|page_0008_raw_0093,"(347, 1196, 1306, 1713)",0.48,True,many_boundary_boxes_in_one_region|mixed_multiple_titles_with_body,review_split_region|review_split_or_keep,new_region_at_layout_boundary|title_fragment_continuation|title_followed_by_body|body_continuation,
page_0009,9,page_0009_region_001,body_text,1,5,page_0009_raw_0098|page_0009_raw_0112|page_0009_raw_0109|page_0009_raw_0107|page_0009_raw_0101,"(346, 237, 1319, 1772)",0.17,True,large_gap_between_child_boxes|region_covers_large_page_area|very_tall_multi_box_region|multiple_low_layout_scores,review_split_region|review_boxes_or_redetect_layout,start_region|body_continuation,
page_0009,9,page_0009_region_002,body_text,6,6,page_0009_raw_0102,"(352, 570, 1313, 680)",1.0,False,,,new_region_after_gap_or_column_change,
page_0009,9,page_0009_region_003,body_text,7,7,page_0009_raw_0106,"(344, 1611, 1309, 1730)",1.0,False,,,new_region_after_gap_or_column_change,
page_0009,9,page_0009_region_004,body_text,8,9,page_0009_raw_0105|page_0009_raw_0110,"(345, 1291, 1307, 1528)",1.0,False,,,new_region_after_gap_or_column_change|contiguous_close_boxes,
page_0009,9,page_0009_region_005,body_text,10,11,page_0009_raw_0104|page_0009_raw_0113,"(353, 372, 1275, 805)",1.0,False,,,new_region_after_gap_or_column_change|body_continuation,
page_0009,9,page_0009_region_006,body_text,12,14,page_0009_raw_0103|page_0009_raw_0111|page_0009_raw_0114,"(354, 239, 1229, 354)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,new_region_after_gap_or_column_change|body_continuation,
page_0009,9,page_0009_region_007,content_block,15,15,page_0009_raw_0097,"(766, 832, 903, 862)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
page_0009,9,page_0009_region_008,content_block,16,16,page_0009_raw_0100,"(765, 1031, 900, 1062)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
page_0009,9,page_0009_region_009,content_block,17,17,page_0009_raw_0099,"(763, 1227, 899, 1258)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
page_0010,10,page_0010_region_001,body_text,1,1,page_0010_raw_0130,"(333, 2, 1281, 96)",1.0,False,,,start_region,
page_0010,10,page_0010_region_002,content_block,2,4,page_0010_raw_0124|page_0010_raw_0123|page_0010_raw_0129,"(338, 247, 1295, 476)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
page_0010,10,page_0010_region_003,content_block,5,7,page_0010_raw_0118|page_0010_raw_0115|page_0010_raw_0128,"(340, 510, 1300, 767)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
page_0010,10,page_0010_region_004,content_block,8,12,page_0010_raw_0127|page_0010_raw_0125|page_0010_raw_0131|page_0010_raw_0126|page_0010_raw_0122,"(340, 796, 1300, 1167)",0.78,True,mixed_multiple_titles_with_body,review_split_or_keep,new_region_at_layout_boundary|title_fragment_continuation|title_followed_by_body|body_continuation,
page_0010,10,page_0010_region_005,content_block,13,16,page_0010_raw_0121|page_0010_raw_0119|page_0010_raw_0116|page_0010_raw_0117,"(343, 1187, 1305, 1722)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,
page_0011,11,page_0011_region_001,body_text,1,2,page_0011_raw_0132|page_0011_raw_0134,"(344, 217, 1333, 1713)",0.75,True,region_covers_large_page_area,review_split_region,start_region|body_continuation,
page_0011,11,page_0011_region_002,content_block,3,3,page_0011_raw_0135,"(779, 356, 917, 390)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
page_0012,12,page_0012_region_001,body_text,1,3,page_0012_raw_0138|page_0012_raw_0142|page_0012_raw_0141,"(330, 236, 1307, 1698)",0.75,True,region_covers_large_page_area,review_split_region,start_region|contiguous_close_boxes,
page_0012,12,page_0012_region_002,body_text,4,4,page_0012_raw_0137,"(326, 261, 1291, 1134)",1.0,False,,,new_region_after_gap_or_column_change,
page_0012,12,page_0012_region_003,content_block,5,5,page_0012_raw_0139,"(755, 1161, 894, 1194)",0.9,True,single_boundary_region,review_merge_with_next_or_keep_as_title,new_region_at_layout_boundary,
